matchid,bo,PlayerId,PlayerName,runeId,iconKey
9691,2,3064,WEShanks,5008,StatModsAdaptiveForceIcon
9691,2,3064,WEShanks,5003,StatModsMagicResIcon
9691,2,1470,WEHope,8008,LethalTempoTemp
9691,2,1470,WEHope,8009,PresenceOfMind
9691,2,1470,WEHope,9103,LegendBloodline
9691,2,1470,WEHope,8017,CutDown
9691,2,1470,WEHope,8304,MagicalFootwear
9691,2,1470,WEHope,8345,BiscuitDelivery
9691,2,1470,WEHope,5005,StatModsAttackSpeedIcon
9691,2,1470,WEHope,5008,StatModsAdaptiveForceIcon
9691,2,1470,WEHope,5002,StatModsArmorIcon
9691,2,3006,WEIwandy,8229,ArcaneComet
9691,2,3006,WEIwandy,8226,ManaflowBand
9691,2,3006,WEIwandy,8233,AbsoluteFocus
9691,2,3006,WEIwandy,8237,Scorch
9691,2,3006,WEIwandy,8009,PresenceOfMind
9691,2,3006,WEIwandy,8017,CutDown
9691,2,3006,WEIwandy,5008,StatModsAdaptiveForceIcon
9691,2,3006,WEIwandy,5008,StatModsAdaptiveForceIcon
9691,2,3006,WEIwandy,5002,StatModsArmorIcon
9691,2,3520,FPXXiaolaohu,8437,GraspOfTheUndying
9691,2,3520,FPXXiaolaohu,8446,Demolish
9691,2,3520,FPXXiaolaohu,8444,SecondWind
9691,2,3520,FPXXiaolaohu,8242,Unflinching
9691,2,3520,FPXXiaolaohu,8347,CosmicInsight
9691,2,3520,FPXXiaolaohu,8345,BiscuitDelivery
9691,2,3520,FPXXiaolaohu,5005,StatModsAttackSpeedIcon
9691,2,3520,FPXXiaolaohu,5008,StatModsAdaptiveForceIcon
9691,2,3520,FPXXiaolaohu,5003,StatModsMagicResIcon
9691,2,3641,FPXhaoye,8010,Conqueror
9691,2,3641,FPXhaoye,9111,Triumph
9691,2,3641,FPXhaoye,9105,LegendTenacity
9691,2,3641,FPXhaoye,8014,CoupDeGrace
9691,2,3641,FPXhaoye,8304,MagicalFootwear
9691,2,3641,FPXhaoye,8347,CosmicInsight
9691,2,3641,FPXhaoye,5005,StatModsAttackSpeedIcon
9691,2,3641,FPXhaoye,5008,StatModsAdaptiveForceIcon
9691,2,3641,FPXhaoye,5003,StatModsMagicResIcon
9691,2,3547,FPXCare,8369,FirstStrike
9691,2,3547,FPXCare,8304,MagicalFootwear
9691,2,3547,FPXCare,8345,BiscuitDelivery
9691,2,3547,FPXCare,8347,CosmicInsight
9691,2,3547,FPXCare,8009,PresenceOfMind
9691,2,3547,FPXCare,9105,LegendTenacity
9691,2,3547,FPXCare,5008,StatModsAdaptiveForceIcon
9691,2,3547,FPXCare,5008,StatModsAdaptiveForceIcon
9691,2,3547,FPXCare,5003,StatModsMagicResIcon
9691,2,1266,FPXLwx,8008,LethalTempoTemp
9691,2,1266,FPXLwx,9111,Triumph
9691,2,1266,FPXLwx,9104,LegendAlacrity
9691,2,1266,FPXLwx,8299,LastStand
9691,2,1266,FPXLwx,8444,SecondWind
9691,2,1266,FPXLwx,8451,Overgrowth
9691,2,1266,FPXLwx,5005,StatModsAttackSpeedIcon
9691,2,1266,FPXLwx,5008,StatModsAdaptiveForceIcon
9691,2,1266,FPXLwx,5002,StatModsArmorIcon
9691,2,2804,FPXLele,8214,SummonAery
9691,2,2804,FPXLele,8226,ManaflowBand
9691,2,2804,FPXLele,8210,Transcendence
9691,2,2804,FPXLele,8237,Scorch
9691,2,2804,FPXLele,8345,BiscuitDelivery
9691,2,2804,FPXLele,8347,CosmicInsight
9691,2,2804,FPXLele,5008,StatModsAdaptiveForceIcon
9691,2,2804,FPXLele,5008,StatModsAdaptiveForceIcon
9691,2,2804,FPXLele,5002,StatModsArmorIcon
9691,3,3520,FPXXiaolaohu,8010,Conqueror
9691,3,3520,FPXXiaolaohu,8009,PresenceOfMind
9691,3,3520,FPXXiaolaohu,9104,LegendAlacrity
9691,3,3520,FPXXiaolaohu,8299,LastStand
9691,3,3520,FPXXiaolaohu,8444,SecondWind
9691,3,3520,FPXXiaolaohu,8242,Unflinching
9691,3,3520,FPXXiaolaohu,5005,StatModsAttackSpeedIcon
9691,3,3520,FPXXiaolaohu,5008,StatModsAdaptiveForceIcon
9691,3,3520,FPXXiaolaohu,5002,StatModsArmorIcon
9691,3,3641,FPXhaoye,8010,Conqueror
9691,3,3641,FPXhaoye,9111,Triumph
9691,3,3641,FPXhaoye,9105,LegendTenacity
9691,3,3641,FPXhaoye,8014,CoupDeGrace
9691,3,3641,FPXhaoye,8304,MagicalFootwear
9691,3,3641,FPXhaoye,8347,CosmicInsight
9691,3,3641,FPXhaoye,5005,StatModsAttackSpeedIcon
9691,3,3641,FPXhaoye,5008,StatModsAdaptiveForceIcon
9691,3,3641,FPXhaoye,5002,StatModsArmorIcon
9691,3,3547,FPXCare,8021,FleetFootwork
9691,3,3547,FPXCare,8009,PresenceOfMind
9691,3,3547,FPXCare,9105,LegendTenacity
9691,3,3547,FPXCare,8299,LastStand
9691,3,3547,FPXCare,8444,SecondWind
9691,3,3547,FPXCare,8242,Unflinching
9691,3,3547,FPXCare,5008,StatModsAdaptiveForceIcon
