matchId,startTime,teamAId,teamAName,teamBId,teamBName,bo,status,winTeamId,stageId,stageName
9762,2023-02-22T19:00:00+08:00,9,LNG,57,BLG,3,2,9,1,春季赛常规赛
9763,2023-02-24T17:00:00+08:00,587,NIP,422,AL,3,2,587,1,春季赛常规赛
9764,2023-02-24T19:00:00+08:00,12,WE,11,RA,3,2,12,1,春季赛常规赛
9765,2023-02-25T15:00:00+08:00,8,RNG,438,TT,3,2,8,1,春季赛常规赛
9766,2023-02-25T17:00:00+08:00,685,UP,1,EDG,3,2,1,1,春季赛常规赛
9767,2023-02-25T19:00:00+08:00,29,JDG,42,TES,3,2,29,1,春季赛常规赛
9768,2023-02-26T15:00:00+08:00,7,FPX,4,LGD,3,2,4,1,春季赛常规赛
9769,2023-02-26T17:00:00+08:00,6,OMG,2,IG,3,2,6,1,春季赛常规赛
9770,2023-02-26T19:00:00+08:00,41,WBG,9,LNG,3,2,9,1,春季赛常规赛
9931,2023-02-27T17:00:00+08:00,1,EDG,11,RA,3,2,1,1,春季赛常规赛
9932,2023-02-27T19:00:00+08:00,685,UP,57,BLG,3,2,57,1,春季赛常规赛
9933,2023-02-28T17:00:00+08:00,8,RNG,422,AL,3,2,422,1,春季赛常规赛
9934,2023-02-28T19:00:00+08:00,12,WE,42,TES,3,2,42,1,春季赛常规赛
9935,2023-03-01T17:00:00+08:00,6,OMG,587,NIP,3,2,6,1,春季赛常规赛
9936,2023-03-01T19:00:00+08:00,4,LGD,41,WBG,3,2,41,1,春季赛常规赛
9937,2023-03-02T17:00:00+08:00,7,FPX,438,TT,3,2,438,1,春季赛常规赛
9938,2023-03-02T19:00:00+08:00,29,JDG,12,WE,3,2,29,1,春季赛常规赛
9939,2023-03-03T17:00:00+08:00,11,RA,2,IG,3,2,2,1,春季赛常规赛
9940,2023-03-03T19:00:00+08:00,57,BLG,4,LGD,3,2,4,1,春季赛常规赛
9941,2023-03-04T15:00:00+08:00,41,WBG,422,AL,3,2,41,1,春季赛常规赛
9942,2023-03-04T17:00:00+08:00,42,TES,8,RNG,3,2,42,1,春季赛常规赛
9943,2023-03-04T19:00:00+08:00,1,EDG,9,LNG,3,2,1,1,春季赛常规赛
9944,2023-03-05T15:00:00+08:00,2,IG,685,UP,3,2,2,1,春季赛常规赛
9945,2023-03-05T17:00:00+08:00,29,JDG,6,OMG,3,2,6,1,春季赛常规赛
9946,2023-03-05T19:00:00+08:00,587,NIP,7,FPX,3,2,7,1,春季赛常规赛
9947,2023-03-06T17:00:00+08:00,438,TT,11,RA,3,2,438,1,春季赛常规赛
9948,2023-03-06T19:00:00+08:00,8,RNG,57,BLG,3,2,57,1,春季赛常规赛
9949,2023-03-07T17:00:00+08:00,1,EDG,41,WBG,3,2,1,1,春季赛常规赛
9950,2023-03-07T19:00:00+08:00,42,TES,9,LNG,3,2,9,1,春季赛常规赛
9951,2023-03-08T17:00:00+08:00,6,OMG,422,AL,3,2,6,1,春季赛常规赛
9952,2023-03-08T19:00:00+08:00,685,UP,12,WE,3,2,12,1,春季赛常规赛
9953,2023-03-09T17:00:00+08:00,1,EDG,4,LGD,3,2,1,1,春季赛常规赛
9954,2023-03-09T19:00:00+08:00,29,JDG,438,TT,3,2,29,1,春季赛常规赛
9955,2023-03-10T17:00:00+08:00,587,NIP,57,BLG,3,2,57,1,春季赛常规赛
9956,2023-03-10T19:00:00+08:00,7,FPX,6,OMG,3,2,6,1,春季赛常规赛
9957,2023-03-11T15:00:00+08:00,2,IG,12,WE,3,2,12,1,春季赛常规赛
9958,2023-03-11T17:00:00+08:00,4,LGD,42,TES,3,2,4,1,春季赛常规赛
9959,2023-03-11T19:00:00+08:00,41,WBG,8,RNG,3,2,8,1,春季赛常规赛
9960,2023-03-12T15:00:00+08:00,422,AL,1,EDG,3,2,1,1,春季赛常规赛
9961,2023-03-12T17:00:00+08:00,7,FPX,11,RA,3,2,7,1,春季赛常规赛
9962,2023-03-12T19:00:00+08:00,9,LNG,29,JDG,3,2,29,1,春季赛常规赛
9963,2023-03-13T17:00:00+08:00,41,WBG,6,OMG,3,2,41,1,春季赛常规赛
9964,2023-03-13T19:00:00+08:00,57,BLG,438,TT,3,2,57,1,春季赛常规赛
9965,2023-03-14T17:00:00+08:00,11,RA,685,UP,3,2,11,1,春季赛常规赛
9966,2023-03-14T19:00:00+08:00,587,NIP,2,IG,3,2,587,1,春季赛常规赛
9967,2023-03-15T17:00:00+08:00,438,TT,42,TES,3,2,438,1,春季赛常规赛
9968,2023-03-15T19:00:00+08:00,9,LNG,422,AL,3,2,9,1,春季赛常规赛
9969,2023-03-16T17:00:00+08:00,12,WE,4,LGD,3,2,12,1,春季赛常规赛
9970,2023-03-16T19:00:00+08:00,8,RNG,685,UP,3,2,8,1,春季赛常规赛
9971,2023-03-17T17:00:00+08:00,422,AL,7,FPX,3,2,422,1,春季赛常规赛
9972,2023-03-17T19:00:00+08:00,1,EDG,6,OMG,3,2,1,1,春季赛常规赛
9973,2023-03-18T15:00:00+08:00,41,WBG,587,NIP,3,2,41,1,春季赛常规赛
9974,2023-03-18T17:00:00+08:00,11,RA,29,JDG,3,2,29,1,春季赛常规赛
9975,2023-03-18T19:00:00+08:00,42,TES,57,BLG,3,2,57,1,春季赛常规赛
9976,2023-03-19T17:00:00+08:00,7,FPX,1,EDG,3,2,7,1,春季赛常规赛
9977,2023-03-19T19:00:00+08:00,9,LNG,2,IG,3,2,9,1,春季赛常规赛
9978,2023-03-20T17:00:00+08:00,587,NIP,8,RNG,3,2,587,1,春季赛常规赛
9979,2023-03-20T19:00:00+08:00,29,JDG,4,LGD,3,2,29,1,春季赛常规赛
9980,2023-03-21T17:00:00+08:00,6,OMG,42,TES,3,2,6,1,春季赛常规赛
9981,2023-03-21T19:00:00+08:00,12,WE,41,WBG,3,2,41,1,春季赛常规赛
9982,2023-03-22T17:00:00+08:00,9,LNG,685,UP,3,2,9,1,春季赛常规赛
9983,2023-03-22T19:00:00+08:00,2,IG,57,BLG,3,2,57,1,春季赛常规赛
9984,2023-03-23T17:00:00+08:00,11,RA,8,RNG,3,2,8,1,春季赛常规赛
9985,2023-03-23T19:00:00+08:00,7,FPX,42,TES,3,2,42,1,春季赛常规赛
9986,2023-03-24T17:00:00+08:00,4,LGD,9,LNG,3,2,9,1,春季赛常规赛
9987,2023-03-24T19:00:00+08:00,438,TT,1,EDG,3,2,1,1,春季赛常规赛
9988,2023-03-25T15:00:00+08:00,57,BLG,6,OMG,3,2,6,1,春季赛常规赛
9989,2023-03-25T17:00:00+08:00,685,UP,29,JDG,3,2,29,1,春季赛常规赛
9990,2023-03-25T19:00:00+08:00,12,WE,587,NIP,3,2,12,1,春季赛常规赛
9991,2023-03-26T17:00:00+08:00,422,AL,438,TT,3,2,438,1,春季赛常规赛
9992,2023-03-26T19:00:00+08:00,41,WBG,11,RA,3,2,41,1,春季赛常规赛
